Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
12;1184352;Форма банка (без печати работодателя);Ремонт;1;0.37;женский;0;0;высшее;менеджер высшего звена;< 50;0;123;41;Другое;ООО;гражданский брак;0;0;0;0;0;0.1333333333;1;0;0;0;0.3333333333;3;6;208;9;2;3;7;75;1;1;0;0;0;0;0
12;1184372;Форма банка (без печати работодателя);Ремонт;1;0.15;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;60;27;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184392;2НДФЛ;Ремонт;1;0.59;мужской;2;0;Высшее/Второе высшее/Ученая степень;рабочий;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184412;Свободная форма с печатью работодателя;Ремонт;1;0.45;мужской;0;0;высшее;менеджер высшего звена;>250;3;7;41;Торговля;ООО;холост / не замужем;2;2;1;0;0;0.0108695652;1;2;2;1;0.5;5;5;91;10;3;0;0;69;1;0;0;0;0;0;0
12;1184432;Поступление зарплаты на счет;Ремонт;1;0.25;женский;0;0;высшее;менеджер среднего звена;>250;0;6;37;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184452;2НДФЛ;Ремонт;1;0.42;мужской;2;0;среднее-специальное;вспомогательный персонал;>250;3;260;38;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184472;Форма банка (без печати работодателя);Покупка автомобиля;1;0.18;женский;1;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184492;2НДФЛ;Покупка автомобиля;0;0.39;женский;1;0;среднее-специальное;рабочий;>250;3;81;37;Другое;ООО;гражданский брак;0;0;0;0;0;0.0365853659;0;0;0;0;0.6666666667;2;1;79;3;1;1;19;32;1;0;0;0;0;0;0
12;1184512;Поступление зарплаты на счет;Ремонт;0;0.08;женский;0;0;высшее;специалист;>250;1;55;32;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184532;Форма банка (без печати работодателя);Покупка автомобиля;1;0.15;мужской;0;0;среднее;торговый представитель;>250;0;21;27;Торговля;ООО;женат / замужем;2;2;1;0;0;0.2142857143;0;0;0;0;0.1538461538;2;11;132;13;2;1;14;73;1;1;1;0;1;0;0
